periodId;eventDate;Clanmate;Arena Total;Common Total;Rare Total;Epic Total;Tartaros Total;Elven Total;Cursed Total;Bank Total;Runic Total;Heroic Total;VotA Total;ROTA Total;EAs Total;Union Total;Jormungandr Total;Points
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Nightwulf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Rainblade;0;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Forondod;0;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;TrAIANO 2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Vakums;0;3;1;0;0;0;0;3;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Fray;0;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Friedoline;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Mikoikt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Nightfang;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Hulsa;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Lanmoin der Kleine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Petrov val;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Zuzilkree;0;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;koi;0;7;0;2;0;2;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;DerVerstandnisvolle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;MIKI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Cerberus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Kamaw DOC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Jannoz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Shahanna;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Heinrich der Lowe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Tehn;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0
8wWTNiIJrtIc0bfLn8RZ;2025-07-17;Frostterror;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
